M88H_710_power, M88H_710_efficiency
3344.3191673894235, 0.9746846846846846
5786.6435385949735, 0.9779279279279279
8117.953165654815, 0.9802702702702702
11448.395490026021, 0.9835135135135135
13890.719861231573, 0.9853153153153152
16777.10320901995, 0.9869369369369368
19441.457068516913, 0.9878378378378377
22327.84041630529, 0.9881981981981982
25103.209019947964, 0.9883783783783784
27767.56287944493, 0.9882882882882882
30764.960971379012, 0.9882882882882882
36315.69817866435, 0.9879279279279278
41533.39115351257, 0.9874774774774774
46307.02515177797, 0.9872072072072071
51857.76235906331, 0.9869369369369368
55965.30789245446, 0.9869369369369368
60627.92714657415, 0.9866666666666666
64346.92107545532, 0.9864864864864864
69287.07718993929, 0.9863063063063062
72506.50477016479, 0.9863963963963963
75170.85862966174, 0.9862162162162161
78279.27146574155, 0.9858558558558558
81387.68430182133, 0.9854054054054053
84052.0381613183, 0.9849549549549549
86938.42150910667, 0.9844144144144144
