Week,Total_Firm_Load_MW,Annual_Baseload_MW,Weekly_Capacity_Block_MW
1,10.5,7.0,3.5
2,9.5,7.0,2.5
3,10.5,7.0,3.5
4,11.0,7.0,4.0
5,14.0,7.0,7.0
6,13.5,7.0,6.5
7,12.0,7.0,5.0
8,12.5,7.0,5.5
9,15.0,7.0,8.0
10,10.5,7.0,3.5
11,7.0,7.0,0.0
12,10.0,7.0,3.0
