Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,28.0,19.855763463950566,55.85576346395057,0.0
2,8.0,0.0,28.0,3.643138670346765,39.643138670346765,0.0
3,8.0,0.0,28.0,6.612754667271162,42.61275466727116,0.0
4,8.0,0.0,28.0,9.380187239346554,45.380187239346554,0.0
5,8.0,0.0,28.0,8.455293248830799,44.4552932488308,0.0
6,8.0,0.0,28.0,7.529058977975453,43.52905897797545,0.0
7,8.0,0.0,28.0,19.472491521081345,55.472491521081345,0.0
8,8.0,0.0,28.0,32.79779811673285,68.79779811673285,0.0
9,8.0,0.0,28.0,36.73185449987892,72.73185449987892,0.0
10,8.0,0.0,28.0,34.65695317261127,70.65695317261127,0.0
11,8.0,0.0,28.0,22.654520960448515,58.654520960448515,0.0
12,8.0,0.0,28.0,18.97351230917785,54.97351230917785,0.0
13,8.0,0.0,28.0,20.780999152349317,56.78099915234932,0.0
14,8.0,0.0,28.0,17.052376306883573,53.05237630688357,0.0
15,8.0,0.0,28.0,14.535970327316669,50.53597032731667,0.0
16,8.0,0.0,28.0,14.898649549841174,50.898649549841174,0.0
17,8.0,0.0,28.0,16.420060554104715,52.420060554104715,0.0
18,8.0,0.0,28.0,0.357919107585694,36.357919107585694,0.0
19,8.0,0.0,28.0,0.9278559686397756,36.927855968639776,0.0
20,8.0,0.0,28.0,14.922973279403905,50.922973279403905,0.0
21,8.0,0.0,28.0,6.748341135298418,42.74834113529842,0.0
22,8.0,0.0,28.0,10.878463749539613,46.87846374953961,0.0
23,8.0,0.0,28.0,26.018326500526157,62.01832650052616,0.0
24,8.0,0.0,28.0,15.675196878864817,51.67519687886482,0.0
25,8.0,0.0,28.0,3.922613921758291,39.92261392175829,0.0
26,8.0,0.0,28.0,0.0,36.0,0.0
27,8.0,0.0,28.0,10.031452752429537,46.03145275242954,0.0
28,8.0,0.0,28.0,9.487577718948287,45.48757771894829,0.0
29,8.0,0.0,28.0,5.336916106024901,41.3369161060249,0.0
30,8.0,0.0,28.0,19.536888268937815,55.536888268937815,0.0
31,8.0,0.0,28.0,20.31321599663363,56.31321599663363,0.0
32,8.0,0.0,28.0,11.48427067334557,47.48427067334557,0.0
33,8.0,0.0,28.0,13.112471532860042,49.11247153286004,0.0
34,8.0,0.0,28.0,6.191232553990247,42.19123255399025,0.0
35,8.0,0.0,28.0,10.030556819808965,46.030556819808965,0.0
36,8.0,0.0,28.0,15.786805122673684,51.786805122673684,0.0
37,8.0,0.0,28.0,24.627142393613532,60.62714239361353,0.0
38,8.0,0.0,28.0,39.0,75.0,0.0
39,8.0,0.0,28.0,33.410553068099304,69.4105530680993,0.0
40,8.0,0.0,28.0,0.0,36.0,0.0
41,8.0,0.0,28.0,0.0,36.0,0.0
42,8.0,0.0,28.0,0.0,36.0,0.0
43,8.0,0.0,28.0,3.4291896722844726,39.42918967228447,0.0
44,8.0,0.0,28.0,9.619258674890062,45.61925867489006,0.0
45,8.0,0.0,28.0,21.4079227351083,57.4079227351083,0.0
46,8.0,0.0,28.0,27.297529584462467,63.29752958446247,0.0
