Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,17.0,5.0,30.0,6.55008174480389
2,8.0,0.0,17.0,5.0,30.0,11.089609470898779
3,8.0,0.0,17.0,5.0,30.0,14.504667867361832
4,8.0,0.0,17.0,5.0,30.0,0.0
5,8.0,0.0,17.0,5.0,30.0,16.623587236155416
6,8.0,0.0,17.0,5.0,30.0,15.558417824671764
7,8.0,0.0,17.0,5.0,30.0,29.293365249243543
8,8.0,0.0,17.0,5.0,30.0,44.617467834242774
9,8.0,0.0,17.0,5.0,30.0,44.892210817737734
10,8.0,0.0,17.0,5.0,30.0,46.75549614850296
11,8.0,0.0,17.0,5.0,30.0,32.95269910451579
12,8.0,0.0,17.0,5.0,30.0,28.71953915555452
13,8.0,0.0,17.0,5.0,30.0,30.79814902520171
14,8.0,0.0,17.0,5.0,30.0,26.510232752916103
15,8.0,0.0,17.0,5.0,30.0,23.616365876414164
16,8.0,0.0,17.0,5.0,30.0,24.033446982317344
17,8.0,0.0,17.0,5.0,30.0,25.783069637220414
18,8.0,0.0,17.0,5.0,30.0,7.311606973723542
19,8.0,0.0,17.0,5.0,30.0,7.967034363935738
20,8.0,0.0,17.0,5.0,30.0,24.061419271314485
21,8.0,0.0,17.0,5.0,30.0,14.660592305593177
22,8.0,0.0,17.0,5.0,30.0,19.41023331197055
23,8.0,0.0,17.0,5.0,30.0,19.144861778493862
24,8.0,0.0,17.0,5.0,30.0,24.926476410694534
25,8.0,0.0,17.0,5.0,30.0,11.411006010022028
26,8.0,0.0,17.0,5.0,30.0,6.462033349521612
27,8.0,0.0,17.0,5.0,30.0,18.436170665293965
28,8.0,0.0,17.0,5.0,30.0,17.81071437679053
29,8.0,0.0,17.0,5.0,30.0,13.037453521928633
30,8.0,0.0,17.0,5.0,30.0,29.36742150927848
31,8.0,0.0,17.0,5.0,30.0,30.260198396128672
32,8.0,0.0,17.0,5.0,30.0,20.106911274347397
33,8.0,0.0,17.0,5.0,30.0,21.97934226278904
34,8.0,0.0,17.0,5.0,30.0,14.019917437088779
35,8.0,0.0,17.0,5.0,30.0,18.435140342780308
36,8.0,0.0,17.0,5.0,30.0,25.054825891074728
37,8.0,0.0,17.0,5.0,30.0,35.22121375265556
38,8.0,0.0,17.0,5.0,30.0,38.22534233616315
39,8.0,0.0,17.0,5.0,30.0,45.32213602831419
40,8.0,0.0,17.0,5.0,30.0,0.0
41,8.0,0.0,17.0,5.0,30.0,0.0
42,8.0,0.0,17.0,5.0,30.0,5.346003237057836
43,8.0,0.0,17.0,5.0,30.0,10.843568123127142
44,8.0,0.0,17.0,5.0,30.0,0.0
45,8.0,0.0,17.0,5.0,30.0,31.519111145374538
46,8.0,0.0,17.0,5.0,30.0,38.29215902213183
47,8.0,0.0,17.0,5.0,30.0,34.81582656456497
48,8.0,0.0,17.0,5.0,30.0,34.17190066022225
49,8.0,0.0,17.0,5.0,30.0,45.84517928117447
50,8.0,0.0,17.0,5.0,30.0,44.60349398172325
51,8.0,0.0,17.0,5.0,30.0,46.005553227125915
52,8.0,0.0,17.0,5.0,30.0,46.33355373824372
53,8.0,0.0,17.0,5.0,30.0,53.706415032778125
54,8.0,0.0,17.0,5.0,30.0,58.343785558471254
55,8.0,0.0,17.0,5.0,30.0,61.51022377198936
56,8.0,0.0,17.0,5.0,30.0,62.74332959009982
57,8.0,0.0,17.0,5.0,30.0,63.21857576535808
