Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
19.0,8.0,0.0,11.0,99.93150684931507,100.0,100.0,94.25604678572078,363.0017845970763,70.04784675496806,0.0,96.36,3.897245913550826,170.30509266851888,108.98157134632314,0.9720610312130072
19.0,6.0,3.0,10.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,26.28,87.6,3.7736658024110854,170.2136658024111,106.37336658024111,0.9715391883699264
18.0,8.0,0.0,10.0,99.93150684931507,100.0,100.0,94.25604678572078,363.0017845970763,70.04784675496806,0.0,87.6,12.489245913550826,170.13709266851887,106.33677134632313,0.9711021271034183
18.0,5.0,6.0,7.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,52.56,61.32,12.101665802411084,169.78166580241106,106.3301665802411,0.9690734349452687
18.0,4.0,8.0,6.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,70.08,52.56,11.981665802411083,169.66166580241105,106.3181665802411,0.9683885034384193
18.0,3.0,10.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,87.6,43.8,11.861665802411084,169.54166580241107,106.3061665802411,0.96770357193157
19.0,7.0,0.0,12.0,100.0,100.0,100.0,94.25614543323714,363.0017845970763,61.32,0.0,105.12,4.0329163630511555,170.47291636305116,103.77129163630512,0.9730189290128491
19.0,6.0,2.0,11.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,17.52,96.36,3.9176658024110855,170.3576658024111,103.75976658024112,0.9723611061781455
19.0,5.0,4.0,10.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,35.04,87.6,3.7976658024110854,170.2376658024111,103.74776658024112,0.9716761746712962
19.0,4.0,6.0,9.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,52.56,78.84,3.6776658024110853,170.1176658024111,103.73576658024112,0.970991243164447
18.0,6.0,3.0,9.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,26.28,78.84,12.365665802411083,170.04566580241107,103.7285665802411,0.9705802842603372
18.0,5.0,5.0,8.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,43.8,70.08,12.245665802411082,169.92566580241106,103.71656658024109,0.9698953527534878
18.0,4.0,7.0,7.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,61.32,61.32,12.125665802411083,169.80566580241106,103.70456658024109,0.9692104212466385
18.0,3.0,9.0,6.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,78.84,52.56,12.005665802411084,169.68566580241105,103.6925665802411,0.9685254897397891
17.0,8.0,0.0,9.0,99.93150684931507,100.0,100.0,94.25604678572078,363.0017845970763,70.04784675496806,0.0,78.84,21.081245913550827,169.96909266851887,103.69197134632314,0.9701432229938292
17.0,5.0,6.0,6.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,52.56,52.56,20.693665802411086,169.6136658024111,103.68536658024112,0.9681145308356798
18.0,2.0,11.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,17.52,96.36,43.8,11.885665802411083,169.56566580241108,103.6805665802411,0.9678405582329399
17.0,4.0,8.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,70.08,43.8,20.57366580241109,169.4936658024111,103.67336658024112,0.9674295993288304
18.0,1.0,13.0,4.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,8.76,113.88,35.04,11.765665802411084,169.44566580241107,103.6685665802411,0.9671556267260906
17.0,3.0,10.0,4.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,87.6,35.04,20.453665802411088,169.3736658024111,103.66136658024112,0.9667446678219812
18.0,0.0,15.0,3.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,0.0,131.4,26.28,11.645665802411083,169.32566580241107,103.6565665802411,0.9664706952192412
19.0,6.0,1.0,12.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,8.76,105.12,4.061665802411086,170.5016658024111,101.14616658024111,0.9731830239863647
19.0,5.0,3.0,11.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,26.28,96.36,3.9416658024110856,170.3816658024111,101.13416658024111,0.9724980924795155
18.0,7.0,0.0,11.0,100.0,100.0,100.0,94.25614543323714,363.0017845970763,61.32,0.0,96.36,12.624916363051156,170.30491636305115,101.12649163630512,0.97206002490326
19.0,4.0,5.0,10.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,43.8,87.6,3.8216658024110854,170.2616658024111,101.12216658024111,0.9718131609726661
18.0,6.0,2.0,10.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,17.52,87.6,12.509665802411083,170.18966580241107,101.1149665802411,0.9714022020685563
19.0,3.0,7.0,9.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,61.32,78.84,3.7016658024110853,170.1416658024111,101.11016658024111,0.9711282294658168
18.0,5.0,4.0,9.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,35.04,78.84,12.389665802411082,170.06966580241107,101.1029665802411,0.970717270561707
18.0,4.0,6.0,8.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,52.56,70.08,12.269665802411085,169.9496658024111,101.09096658024112,0.9700323390548579
17.0,6.0,3.0,8.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,52.56,26.28,70.08,20.957665802411093,169.87766580241112,101.08376658024112,0.9696213801507483
18.0,3.0,8.0,7.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,70.08,61.32,12.149665802411084,169.82966580241106,101.0789665802411,0.9693474075480084
17.0,5.0,5.0,7.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,43.8,61.32,20.837665802411088,169.7576658024111,101.07176658024112,0.9689364486438989
18.0,2.0,10.0,6.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,17.52,87.6,52.56,12.029665802411083,169.70966580241105,101.0669665802411,0.9686624760411591
17.0,4.0,7.0,6.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,61.32,52.56,20.717665802411087,169.6376658024111,101.05976658024112,0.9682515171370497
18.0,1.0,12.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,8.76,105.12,43.8,11.909665802411084,169.58966580241108,101.0549665802411,0.9679775445343097
17.0,3.0,9.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,78.84,43.8,20.597665802411086,169.5176658024111,101.04776658024112,0.9675665856302004
16.0,8.0,0.0,8.0,99.93150684931507,100.0,100.0,94.25604678572078,363.0017845970763,70.04784675496806,0.0,70.08,29.673245913550826,169.80109266851886,101.04717134632314,0.9691843188842402
18.0,0.0,14.0,4.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,0.0,122.64,35.04,11.789665802411083,169.46966580241107,101.0429665802411,0.9672926130274604
16.0,5.0,6.0,5.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,43.8,52.56,43.8,29.28566580241109,169.4456658024111,101.04056658024112,0.9671556267260908
17.0,2.0,11.0,4.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,17.52,96.36,35.04,20.47766580241109,169.3976658024111,101.03576658024112,0.966881654123351
16.0,4.0,8.0,4.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,35.04,70.08,35.04,29.165665802411084,169.32566580241107,101.0285665802411,0.9664706952192412
17.0,1.0,13.0,3.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,8.76,113.88,26.28,20.357665802411088,169.2776658024111,101.02376658024112,0.9661967226165017
16.0,3.0,10.0,3.0,100.0,100.0,100.0,94.2534880699438,363.0017845970763,26.28,87.6,26.28,29.045665802411083,169.20566580241106,101.0165665802411,0.9657857637123919
