Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,11.0,1.0,20.0,18.05008174480389
2,8.0,0.0,11.0,1.0,20.0,22.58960947089878
3,8.0,0.0,11.0,1.0,20.0,26.00466786736183
4,8.0,0.0,11.0,1.0,20.0,2.229022024388925
5,8.0,0.0,11.0,1.0,20.0,28.123587236155416
6,8.0,0.0,11.0,1.0,20.0,27.058417824671764
7,8.0,0.0,11.0,1.0,20.0,40.79336524924354
8,8.0,0.0,11.0,1.0,20.0,56.117467834242774
9,8.0,0.0,11.0,1.0,20.0,60.641632674860745
10,8.0,0.0,11.0,1.0,20.0,54.45804440792325
11,8.0,0.0,11.0,1.0,20.0,44.45269910451579
12,8.0,0.0,11.0,1.0,20.0,40.21953915555452
13,8.0,0.0,11.0,1.0,20.0,42.29814902520171
14,8.0,0.0,11.0,1.0,20.0,38.0102327529161
15,8.0,0.0,11.0,1.0,20.0,35.116365876414164
16,8.0,0.0,11.0,1.0,20.0,35.533446982317344
17,8.0,0.0,11.0,1.0,20.0,37.283069637220414
18,8.0,0.0,11.0,1.0,20.0,18.811606973723542
19,8.0,0.0,11.0,1.0,20.0,19.46703436393574
20,8.0,0.0,11.0,1.0,20.0,35.561419271314485
21,8.0,0.0,11.0,1.0,20.0,26.160592305593177
22,8.0,0.0,11.0,1.0,20.0,30.91023331197055
23,8.0,0.0,11.0,1.0,20.0,30.644861778493862
24,8.0,0.0,11.0,1.0,20.0,36.426476410694534
25,8.0,0.0,11.0,1.0,20.0,22.911006010022028
26,8.0,0.0,11.0,1.0,20.0,17.96203334952161
27,8.0,0.0,11.0,1.0,20.0,29.936170665293965
28,8.0,0.0,11.0,1.0,20.0,29.31071437679053
29,8.0,0.0,11.0,1.0,20.0,24.537453521928633
30,8.0,0.0,11.0,1.0,20.0,40.86742150927848
31,8.0,0.0,11.0,1.0,20.0,41.76019839612867
32,8.0,0.0,11.0,1.0,20.0,31.606911274347397
33,8.0,0.0,11.0,1.0,20.0,33.47934226278904
34,8.0,0.0,11.0,1.0,20.0,25.51991743708878
35,8.0,0.0,11.0,1.0,20.0,29.935140342780308
36,8.0,0.0,11.0,1.0,20.0,36.55482589107473
37,8.0,0.0,11.0,1.0,20.0,46.72121375265556
38,8.0,0.0,11.0,1.0,20.0,49.72534233616315
39,8.0,0.0,11.0,1.0,20.0,56.82213602831419
40,8.0,0.0,11.0,1.0,20.0,6.198229399825486
41,8.0,0.0,11.0,1.0,20.0,12.789703649316749
42,8.0,0.0,11.0,1.0,20.0,16.846003237057836
43,8.0,0.0,11.0,1.0,20.0,22.34356812312714
44,8.0,0.0,11.0,1.0,20.0,29.46214747612357
45,8.0,0.0,11.0,1.0,20.0,43.01911114537454
46,8.0,0.0,11.0,1.0,20.0,49.79215902213183
47,8.0,0.0,11.0,1.0,20.0,46.31582656456497
48,8.0,0.0,11.0,1.0,20.0,45.67190066022225
49,8.0,0.0,11.0,1.0,20.0,57.34517928117447
50,8.0,0.0,11.0,1.0,20.0,56.10349398172325
51,8.0,0.0,11.0,1.0,20.0,57.505553227125915
52,8.0,0.0,11.0,1.0,20.0,57.83355373824372
53,8.0,0.0,11.0,1.0,20.0,65.20641503277812
54,8.0,0.0,11.0,1.0,20.0,69.84378555847125
55,8.0,0.0,11.0,1.0,20.0,73.01022377198936
56,8.0,0.0,11.0,1.0,20.0,74.24332959009982
57,8.0,0.0,11.0,1.0,20.0,74.71857576535808
58,8.0,0.0,11.0,1.0,20.0,78.87167525885921
59,8.0,0.0,11.0,1.0,20.0,83.96035452418116
60,8.0,0.0,11.0,1.0,20.0,82.97264859091601
61,8.0,0.0,11.0,1.0,20.0,80.8395444618486
62,8.0,0.0,11.0,1.0,20.0,76.99776674423163
63,8.0,0.0,11.0,1.0,20.0,76.9991602172016
64,8.0,0.0,11.0,1.0,20.0,76.99936590094953
65,8.0,0.0,11.0,1.0,20.0,76.9991154913393
66,8.0,0.0,11.0,1.0,20.0,76.99979552508931
67,8.0,0.0,11.0,1.0,20.0,76.99976083763308
68,8.0,0.0,11.0,1.0,20.0,76.9900487568295
69,8.0,0.0,11.0,1.0,20.0,76.99712726448118
70,8.0,0.0,11.0,1.0,20.0,76.99975664679577
71,8.0,0.0,11.0,1.0,20.0,50.04153795758255
72,8.0,0.0,11.0,1.0,20.0,76.99992096231976
73,8.0,0.0,11.0,1.0,20.0,76.99995248334218
74,8.0,0.0,11.0,1.0,20.0,76.99996427911967
75,8.0,0.0,11.0,1.0,20.0,76.9999488927826
76,8.0,0.0,11.0,1.0,20.0,76.99995266649519
77,8.0,0.0,11.0,1.0,20.0,76.99994255154178
78,8.0,0.0,11.0,1.0,20.0,76.99990369752173
79,8.0,0.0,11.0,1.0,20.0,76.99978794805082
80,8.0,0.0,11.0,1.0,20.0,76.99951412502645
81,8.0,0.0,11.0,1.0,20.0,76.99850790485556
82,8.0,0.0,11.0,1.0,20.0,78.59009638458268
83,8.0,0.0,11.0,1.0,20.0,82.4880667638423
84,8.0,0.0,11.0,1.0,20.0,102.0445108949543
85,8.0,0.0,11.0,1.0,20.0,132.52336248474808
86,8.0,0.0,11.0,1.0,20.0,164.0255018784813
87,8.0,0.0,11.0,1.0,20.0,147.44829655789994
88,8.0,0.0,11.0,1.0,20.0,77.03316107605048
89,8.0,0.0,11.0,1.0,20.0,76.86780924781074
90,8.0,0.0,11.0,1.0,20.0,76.8783955194078
91,8.0,0.0,11.0,1.0,20.0,76.91834636948012
92,8.0,0.0,11.0,1.0,20.0,76.90180007888864
93,8.0,0.0,11.0,1.0,20.0,76.9498753980434
94,8.0,0.0,11.0,1.0,20.0,76.97956283304951
95,8.0,0.0,11.0,1.0,20.0,76.9808493019522
96,8.0,0.0,11.0,1.0,20.0,76.99261974825971
97,8.0,0.0,11.0,1.0,20.0,76.98782316111318
98,8.0,0.0,11.0,1.0,20.0,76.96769329170812
99,8.0,0.0,11.0,1.0,20.0,76.96003355914979
100,8.0,0.0,11.0,1.0,20.0,76.97399004874795
101,8.0,0.0,11.0,1.0,20.0,76.98740796085009
102,8.0,0.0,11.0,1.0,20.0,76.99913802914674
103,8.0,0.0,11.0,1.0,20.0,76.9977549058713
104,8.0,0.0,11.0,1.0,20.0,76.99960386976163
105,8.0,0.0,11.0,1.0,20.0,76.99933062282157
106,8.0,0.0,11.0,1.0,20.0,78.6495243307824
107,8.0,0.0,11.0,1.0,20.0,82.73410358137848
108,8.0,0.0,11.0,1.0,20.0,83.98165336141716
109,8.0,0.0,11.0,1.0,20.0,83.2358626321865
110,8.0,0.0,11.0,1.0,20.0,77.08703999862834
111,8.0,0.0,11.0,1.0,20.0,75.02861461586018
112,8.0,0.0,11.0,1.0,20.0,58.587174814068476
113,8.0,0.0,11.0,1.0,20.0,56.08319252112433
114,8.0,0.0,11.0,1.0,20.0,57.48109017196735
115,8.0,0.0,11.0,1.0,20.0,65.74107489525025
116,8.0,0.0,11.0,1.0,20.0,68.62458490830177
117,8.0,0.0,11.0,1.0,20.0,68.64717546771178
118,8.0,0.0,11.0,1.0,20.0,67.88214091801488
119,8.0,0.0,11.0,1.0,20.0,68.23568075388161
120,8.0,0.0,11.0,1.0,20.0,72.92346177085544
121,8.0,0.0,11.0,1.0,20.0,70.729079454266
122,8.0,0.0,11.0,1.0,20.0,63.876780269985346
123,8.0,0.0,11.0,1.0,20.0,63.62468667529295
124,8.0,0.0,11.0,1.0,20.0,40.644098161316165
125,8.0,0.0,11.0,1.0,20.0,66.26631737895607
126,8.0,0.0,11.0,1.0,20.0,55.203951775592756
127,8.0,0.0,11.0,1.0,20.0,39.249634799313334
128,8.0,0.0,11.0,1.0,20.0,31.171648276960504
129,8.0,0.0,11.0,1.0,20.0,20.179437818988696
130,8.0,0.0,11.0,1.0,20.0,20.021524623155713
131,8.0,0.0,11.0,1.0,20.0,48.06981728218713
132,8.0,0.0,11.0,1.0,20.0,76.89381014171202
133,8.0,0.0,11.0,1.0,20.0,118.49412481823813
134,8.0,0.0,11.0,1.0,20.0,109.88674625775323
135,8.0,0.0,11.0,1.0,20.0,74.89919302811617
136,8.0,0.0,11.0,1.0,20.0,0.0
137,8.0,0.0,11.0,1.0,20.0,0.0
138,8.0,0.0,11.0,1.0,20.0,0.0
139,8.0,0.0,11.0,1.0,20.0,15.810454331719157
140,8.0,0.0,11.0,1.0,20.0,21.959360538017364
141,8.0,0.0,11.0,1.0,20.0,32.55194820662636
142,8.0,0.0,11.0,1.0,20.0,41.67557925061212
143,8.0,0.0,11.0,1.0,20.0,42.139096115597624
144,8.0,0.0,11.0,1.0,20.0,51.37482815070112
145,8.0,0.0,11.0,1.0,20.0,53.33628286720888
146,8.0,0.0,11.0,1.0,20.0,57.143472274888566
147,8.0,0.0,11.0,1.0,20.0,53.643005169801114
148,8.0,0.0,11.0,1.0,20.0,40.37090441928597
