Facility_MW,Contracted_A_MW,Contracted_B1_MW,Contracted_B2_MW,True_Physical_Peak_Required,Avg_A_MW,Max_A_MW,Min_A_MW,Avg_B1_MW,Max_B1_MW,Min_B1_MW,Avg_B2_MW,Max_B2_MW,Min_B2_MW,Avg_C_MW,Max_C_MW,Min_C_MW
16.0,5.0,6.0,4.0,38.0,5.0,5.0,5.0,5.983561643835617,11.0,0.0,3.9232876712328766,11.0,0.0,0.8174092946634974,11.0,0.0
20.0,8.0,0.0,11.0,32.0,7.9963295382383635,8.0,0.0,0.0,0.0,0.0,10.789041095890411,12.0,0.0,0.44489108602178373,12.0,0.0
30.0,8.0,0.0,17.0,52.0,7.9963295382383635,8.0,0.0,0.0,0.0,0.0,16.673972602739727,22.0,0.0,2.2928354176346066,22.0,0.0
40.0,5.0,6.0,17.0,110.0,5.0,5.0,5.0,5.983561643835617,35.0,0.0,16.673972602739727,35.0,0.0,5.68557013307185,35.0,0.0
50.0,5.0,6.0,20.0,140.0,5.0,5.0,5.0,5.983561643835617,45.0,0.0,19.616438356164384,45.0,0.0,8.159863081366318,45.0,0.0
75.0,5.0,6.0,25.0,215.0,5.0,5.0,5.0,5.983561643835617,70.0,0.0,24.52054794520548,70.0,0.0,12.956672343270913,70.0,0.0
100.0,5.0,6.0,26.0,290.0,5.0,5.0,5.0,5.983561643835617,95.0,0.0,25.5013698630137,95.0,0.0,16.31080276408543,95.0,0.0
