Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,7.0,1.0,16.0,22.65008174480389
2,8.0,0.0,7.0,1.0,16.0,27.18960947089878
3,8.0,0.0,7.0,1.0,16.0,30.604667867361833
4,8.0,0.0,7.0,1.0,16.0,6.829022024388927
5,8.0,0.0,7.0,1.0,16.0,32.72358723615542
6,8.0,0.0,7.0,1.0,16.0,31.658417824671766
7,8.0,0.0,7.0,1.0,16.0,45.393365249243544
8,8.0,0.0,7.0,1.0,16.0,60.717467834242775
9,8.0,0.0,7.0,1.0,16.0,65.24163267486074
10,8.0,0.0,7.0,1.0,16.0,62.85549614850296
11,8.0,0.0,7.0,1.0,16.0,49.05269910451579
12,8.0,0.0,7.0,1.0,16.0,44.81953915555452
13,8.0,0.0,7.0,1.0,16.0,46.89814902520171
14,8.0,0.0,7.0,1.0,16.0,42.610232752916104
15,8.0,0.0,7.0,1.0,16.0,39.716365876414166
16,8.0,0.0,7.0,1.0,16.0,40.133446982317345
17,8.0,0.0,7.0,1.0,16.0,41.883069637220416
18,8.0,0.0,7.0,1.0,16.0,23.411606973723543
19,8.0,0.0,7.0,1.0,16.0,24.06703436393574
20,8.0,0.0,7.0,1.0,16.0,40.161419271314486
21,8.0,0.0,7.0,1.0,16.0,30.76059230559318
22,8.0,0.0,7.0,1.0,16.0,35.51023331197055
23,8.0,0.0,7.0,1.0,16.0,35.24486177849386
24,8.0,0.0,7.0,1.0,16.0,41.026476410694535
25,8.0,0.0,7.0,1.0,16.0,27.51100601002203
26,8.0,0.0,7.0,1.0,16.0,22.562033349521613
27,8.0,0.0,7.0,1.0,16.0,34.536170665293966
28,8.0,0.0,7.0,1.0,16.0,33.91071437679053
29,8.0,0.0,7.0,1.0,16.0,29.137453521928634
30,8.0,0.0,7.0,1.0,16.0,45.46742150927848
31,8.0,0.0,7.0,1.0,16.0,46.36019839612867
32,8.0,0.0,7.0,1.0,16.0,36.2069112743474
33,8.0,0.0,7.0,1.0,16.0,38.07934226278904
34,8.0,0.0,7.0,1.0,16.0,30.11991743708878
35,8.0,0.0,7.0,1.0,16.0,34.53514034278031
36,8.0,0.0,7.0,1.0,16.0,41.15482589107473
37,8.0,0.0,7.0,1.0,16.0,51.32121375265556
38,8.0,0.0,7.0,1.0,16.0,54.32534233616315
39,8.0,0.0,7.0,1.0,16.0,61.42213602831419
40,8.0,0.0,7.0,1.0,16.0,10.798229399825487
41,8.0,0.0,7.0,1.0,16.0,17.38970364931675
42,8.0,0.0,7.0,1.0,16.0,21.446003237057838
43,8.0,0.0,7.0,1.0,16.0,26.943568123127143
44,8.0,0.0,7.0,1.0,16.0,34.06214747612357
45,8.0,0.0,7.0,1.0,16.0,47.61911114537454
46,8.0,0.0,7.0,1.0,16.0,54.39215902213183
47,8.0,0.0,7.0,1.0,16.0,50.91582656456497
48,8.0,0.0,7.0,1.0,16.0,50.27190066022225
49,8.0,0.0,7.0,1.0,16.0,61.94517928117447
50,8.0,0.0,7.0,1.0,16.0,60.70349398172325
51,8.0,0.0,7.0,1.0,16.0,62.10555322712592
52,8.0,0.0,7.0,1.0,16.0,62.433553738243724
53,8.0,0.0,7.0,1.0,16.0,69.80641503277812
54,8.0,0.0,7.0,1.0,16.0,74.44378555847126
55,8.0,0.0,7.0,1.0,16.0,77.61022377198935
56,8.0,0.0,7.0,1.0,16.0,78.84332959009981
57,8.0,0.0,7.0,1.0,16.0,79.31857576535808
58,8.0,0.0,7.0,1.0,16.0,83.47167525885922
59,8.0,0.0,7.0,1.0,16.0,88.56035452418115
60,8.0,0.0,7.0,1.0,16.0,87.572648590916
61,8.0,0.0,7.0,1.0,16.0,85.43954446184861
62,8.0,0.0,7.0,1.0,16.0,81.59776674423162
63,8.0,0.0,7.0,1.0,16.0,81.59916021720161
64,8.0,0.0,7.0,1.0,16.0,81.59936590094952
65,8.0,0.0,7.0,1.0,16.0,81.59911549133929
66,8.0,0.0,7.0,1.0,16.0,54.64160222422972
67,8.0,0.0,7.0,1.0,16.0,81.59976083763308
68,8.0,0.0,7.0,1.0,16.0,81.5900487568295
69,8.0,0.0,7.0,1.0,16.0,81.59712726448117
70,8.0,0.0,7.0,1.0,16.0,81.59975664679578
71,8.0,0.0,7.0,1.0,16.0,81.59973125844215
72,8.0,0.0,7.0,1.0,16.0,81.59992096231977
73,8.0,0.0,7.0,1.0,16.0,81.59995248334218
74,8.0,0.0,7.0,1.0,16.0,81.59996427911966
75,8.0,0.0,7.0,1.0,16.0,81.5999488927826
76,8.0,0.0,7.0,1.0,16.0,81.5999526664952
77,8.0,0.0,7.0,1.0,16.0,81.59994255154177
78,8.0,0.0,7.0,1.0,16.0,81.59990369752174
79,8.0,0.0,7.0,1.0,16.0,81.59978794805082
80,8.0,0.0,7.0,1.0,16.0,81.59951412502645
81,8.0,0.0,7.0,1.0,16.0,81.59850790485555
82,8.0,0.0,7.0,1.0,16.0,83.19009638458269
83,8.0,0.0,7.0,1.0,16.0,87.0880667638423
84,8.0,0.0,7.0,1.0,16.0,106.6445108949543
85,8.0,0.0,7.0,1.0,16.0,137.12336248474807
86,8.0,0.0,7.0,1.0,16.0,168.6255018784813
87,8.0,0.0,7.0,1.0,16.0,152.04829655789993
88,8.0,0.0,7.0,1.0,16.0,81.63316107605047
89,8.0,0.0,7.0,1.0,16.0,81.46780924781075
90,8.0,0.0,7.0,1.0,16.0,81.4783955194078
91,8.0,0.0,7.0,1.0,16.0,81.51834636948013
92,8.0,0.0,7.0,1.0,16.0,81.50180007888864
93,8.0,0.0,7.0,1.0,16.0,81.54987539804341
94,8.0,0.0,7.0,1.0,16.0,81.57956283304952
95,8.0,0.0,7.0,1.0,16.0,81.58084930195221
96,8.0,0.0,7.0,1.0,16.0,81.59261974825972
97,8.0,0.0,7.0,1.0,16.0,81.58782316111319
98,8.0,0.0,7.0,1.0,16.0,81.56769329170811
99,8.0,0.0,7.0,1.0,16.0,81.56003355914979
100,8.0,0.0,7.0,1.0,16.0,81.57399004874796
101,8.0,0.0,7.0,1.0,16.0,81.5874079608501
102,8.0,0.0,7.0,1.0,16.0,81.59913802914673
103,8.0,0.0,7.0,1.0,16.0,81.59775490587131
104,8.0,0.0,7.0,1.0,16.0,81.59960386976164
105,8.0,0.0,7.0,1.0,16.0,81.59933062282158
106,8.0,0.0,7.0,1.0,16.0,83.2495243307824
107,8.0,0.0,7.0,1.0,16.0,87.33410358137849
108,8.0,0.0,7.0,1.0,16.0,88.58165336141715
109,8.0,0.0,7.0,1.0,16.0,87.83586263218649
110,8.0,0.0,7.0,1.0,16.0,81.68703999862834
111,8.0,0.0,7.0,1.0,16.0,79.62861461586019
112,8.0,0.0,7.0,1.0,16.0,63.18717481406848
113,8.0,0.0,7.0,1.0,16.0,60.68319252112433
114,8.0,0.0,7.0,1.0,16.0,62.081090171967354
115,8.0,0.0,7.0,1.0,16.0,70.34107489525024
116,8.0,0.0,7.0,1.0,16.0,73.22458490830178
117,8.0,0.0,7.0,1.0,16.0,73.24717546771177
118,8.0,0.0,7.0,1.0,16.0,72.48214091801489
119,8.0,0.0,7.0,1.0,16.0,72.8356807538816
120,8.0,0.0,7.0,1.0,16.0,77.52346177085545
121,8.0,0.0,7.0,1.0,16.0,75.32907945426601
122,8.0,0.0,7.0,1.0,16.0,68.47678026998534
123,8.0,0.0,7.0,1.0,16.0,68.22468667529296
124,8.0,0.0,7.0,1.0,16.0,45.24409816131617
125,8.0,0.0,7.0,1.0,16.0,70.86631737895607
126,8.0,0.0,7.0,1.0,16.0,59.80395177559276
127,8.0,0.0,7.0,1.0,16.0,43.849634799313336
128,8.0,0.0,7.0,1.0,16.0,35.771648276960505
129,8.0,0.0,7.0,1.0,16.0,24.779437818988697
130,8.0,0.0,7.0,1.0,16.0,24.621524623155715
131,8.0,0.0,7.0,1.0,16.0,52.66981728218713
132,8.0,0.0,7.0,1.0,16.0,81.49381014171203
133,8.0,0.0,7.0,1.0,16.0,123.09412481823813
134,8.0,0.0,7.0,1.0,16.0,114.48674625775323
135,8.0,0.0,7.0,1.0,16.0,79.49919302811617
136,8.0,0.0,7.0,1.0,16.0,3.3155214953921153
137,8.0,0.0,7.0,1.0,16.0,1.7020473441784674
138,8.0,0.0,7.0,1.0,16.0,5.665840306431239
139,8.0,0.0,7.0,1.0,16.0,20.41045433171916
140,8.0,0.0,7.0,1.0,16.0,26.559360538017366
141,8.0,0.0,7.0,1.0,16.0,37.151948206626365
142,8.0,0.0,7.0,1.0,16.0,46.27557925061212
143,8.0,0.0,7.0,1.0,16.0,46.739096115597626
144,8.0,0.0,7.0,1.0,16.0,55.97482815070112
145,8.0,0.0,7.0,1.0,16.0,57.93628286720888
146,8.0,0.0,7.0,1.0,16.0,61.74347227488857
147,8.0,0.0,7.0,1.0,16.0,58.243005169801116
148,8.0,0.0,7.0,1.0,16.0,44.97090441928597
149,8.0,0.0,7.0,1.0,16.0,51.848159940236606
150,8.0,0.0,7.0,1.0,16.0,59.04327060857651
151,8.0,0.0,7.0,1.0,16.0,61.39959164819427
152,8.0,0.0,7.0,1.0,16.0,61.4382196431146
153,8.0,0.0,7.0,1.0,16.0,57.871002792784076
154,8.0,0.0,7.0,1.0,16.0,43.59453989043228
155,8.0,0.0,7.0,1.0,16.0,37.00496158165159
156,8.0,0.0,7.0,1.0,16.0,43.36512936503804
157,8.0,0.0,7.0,1.0,16.0,64.84024262983235
158,8.0,0.0,7.0,1.0,16.0,80.57543827010494
159,8.0,0.0,7.0,1.0,16.0,93.72862674155076
160,8.0,0.0,7.0,1.0,16.0,63.042108834477524
161,8.0,0.0,7.0,1.0,16.0,67.972412476313
162,8.0,0.0,7.0,1.0,16.0,70.83663847630623
163,8.0,0.0,7.0,1.0,16.0,73.41987254151954
164,8.0,0.0,7.0,1.0,16.0,70.43532868728988
165,8.0,0.0,7.0,1.0,16.0,65.45888862219113
166,8.0,0.0,7.0,1.0,16.0,33.46748828933108
167,8.0,0.0,7.0,1.0,16.0,54.051771285091824
168,8.0,0.0,7.0,1.0,16.0,54.064560826653015
169,8.0,0.0,7.0,1.0,16.0,55.3216252050639
170,8.0,0.0,7.0,1.0,16.0,52.00823625354541
171,8.0,0.0,7.0,1.0,16.0,42.17854502577075
172,8.0,0.0,7.0,1.0,16.0,36.15013645724305
173,8.0,0.0,7.0,1.0,16.0,25.766276120631055
174,8.0,0.0,7.0,1.0,16.0,14.249422296898445
175,8.0,0.0,7.0,1.0,16.0,7.857677662850204
176,8.0,0.0,7.0,1.0,16.0,3.4649681260349006
177,8.0,0.0,7.0,1.0,16.0,2.185644671931268
178,8.0,0.0,7.0,1.0,16.0,1.6342627522569622
179,8.0,0.0,7.0,1.0,16.0,11.867699557806333
180,8.0,0.0,7.0,1.0,16.0,35.16236046388572
181,8.0,0.0,7.0,1.0,16.0,17.527425500975674
182,8.0,0.0,7.0,1.0,16.0,14.179111766139947
183,8.0,0.0,7.0,1.0,16.0,16.581754079944325
184,8.0,0.0,7.0,1.0,16.0,2.785000202154709
