Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
3.0,6.0,2.0,100.0,100.0,100.0,164.77894985419692,449.13243921973697,26.28,52.56,17.52,0.0,96.36,70.08,0.18333333333333332
2.0,8.0,1.0,100.0,100.0,100.0,164.77894985419692,449.21518737510337,17.52,70.08,8.76,0.0,96.36,70.08,0.18333333333333332
8.0,0.0,0.0,99.93150684931507,100.0,100.0,226.67505631533606,478.69456880689035,70.04784675496806,0.0,0.0,0.0,70.04784675496806,70.04784675496806,0.1332721589706394
5.0,4.0,0.0,100.0,100.0,100.0,201.3964942662407,469.0587232644002,43.8,35.04,0.0,0.0,78.84,68.328,0.15
0.0,10.0,2.0,100.0,100.0,100.0,151.04737069968056,439.1814392633091,0.0,87.6,17.52,0.0,105.12,68.328,0.2
7.0,0.0,2.0,100.0,100.0,100.0,201.3964942662407,468.75839726449885,61.32,0.0,17.52,0.0,78.84,68.328,0.15
6.0,2.0,1.0,100.0,100.0,100.0,201.3964942662407,468.91867163165176,52.56,17.52,8.76,0.0,78.84,68.328,0.15
3.0,6.0,1.0,100.0,100.0,100.0,181.2568448396167,459.2064392197369,26.28,52.56,8.76,0.0,87.6,66.576,0.16666666666666666
2.0,8.0,0.0,100.0,100.0,100.0,181.2568448396167,459.2891873751034,17.52,70.08,0.0,0.0,87.6,66.576,0.16666666666666666
4.0,4.0,2.0,100.0,100.0,100.0,181.2568448396167,459.10473323033375,35.04,35.04,17.52,0.0,87.6,66.576,0.16666666666666666
0.0,10.0,1.0,100.0,100.0,100.0,164.77894985419692,449.2554392633091,0.0,87.6,8.76,0.0,96.36,64.824,0.18333333333333332
1.0,8.0,2.0,100.0,100.0,100.0,164.77894985419692,449.28491054039574,8.76,70.08,17.52,0.0,96.36,64.824,0.18333333333333332
7.0,0.0,1.0,100.0,100.0,100.0,226.57105604952082,478.83239726449887,61.32,0.0,8.76,0.0,70.08,64.824,0.13333333333333333
6.0,2.0,0.0,100.0,100.0,100.0,226.57105604952082,478.99267163165183,52.56,17.52,0.0,0.0,70.08,64.824,0.13333333333333333
3.0,6.0,0.0,100.0,100.0,100.0,201.3964942662407,469.280439219737,26.28,52.56,0.0,0.0,78.84,63.072,0.15
5.0,2.0,2.0,100.0,100.0,100.0,201.3964942662407,469.0587232644002,43.8,17.52,17.52,0.0,78.84,63.072,0.15
4.0,4.0,1.0,100.0,100.0,100.0,201.3964942662407,469.1787332303339,35.04,35.04,8.76,0.0,78.84,63.072,0.15
2.0,6.0,2.0,100.0,100.0,100.0,181.2568448396167,459.2932558193542,17.52,52.56,17.52,0.0,87.6,61.32,0.16666666666666666
1.0,8.0,1.0,100.0,100.0,100.0,181.2568448396167,459.3589105403958,8.76,70.08,8.76,0.0,87.6,61.32,0.16666666666666666
0.0,10.0,0.0,100.0,100.0,100.0,181.2568448396167,459.3294392633091,0.0,87.6,0.0,0.0,87.6,61.32,0.16666666666666666
7.0,0.0,0.0,100.0,100.0,100.0,258.9383497708809,488.9063972644988,61.32,0.0,0.0,0.0,61.32,61.32,0.11666666666666667
5.0,2.0,1.0,100.0,100.0,100.0,226.57105604952082,479.1327232644002,43.8,17.52,8.76,0.0,70.08,59.568,0.13333333333333333
4.0,4.0,0.0,100.0,100.0,100.0,226.57105604952082,479.2527332303338,35.04,35.04,0.0,0.0,70.08,59.568,0.13333333333333333
6.0,0.0,2.0,100.0,100.0,100.0,226.57105604952082,478.9926716316517,52.56,0.0,17.52,0.0,70.08,59.568,0.13333333333333333
