Time,PL_R,BE_R,DE_CS,DE_ME,DE_NE,DE_NW,DK_W,DK_E,EE_R,FI_R,FR_R,GB_R,LT_R,LV_R,NL_R,NO_M,NO_MW,NO_N,NO_SE,NO_SW,SE_M,SE_N1,SE_N2,SE_S
01-Jan-2030 00:00:00,9.27527994,4.867785,4.868785,4.867785,4.866785,4.867785,4.867785,8.34322023428571,9.27627994,9.27527994,4.867785,4.867785,9.27627994,9.27527994,4.867785,4.870785,4.869785,4.869785,4.870785,4.868785,9.27427994,9.27427994,9.27327994,8.34422023428572
01-Jan-2030 01:00:00,8.34422023428572,4.867785,4.866785,4.865785,4.864785,4.867785,4.867785,8.34322023428571,8.34822023428572,8.34722023428572,4.867785,4.867785,8.34522023428572,8.34622023428572,4.867785,4.870785,4.869785,4.869785,4.870785,4.868785,8.34622023428572,8.34622023428572,8.34522023428572,8.34422023428572
01-Jan-2030 02:00:00,8.34322023428571,4.867785,4.866785,4.865785,4.864785,4.867785,4.867785,8.34222023428571,9.1137724,9.1147724,4.867785,4.867785,9.1107724,9.1117724,4.867785,4.870785,4.869785,4.869785,4.870785,4.868785,9.1137724,9.1137724,9.1127724,8.34422023428572
01-Jan-2030 03:00:00,4.867785,4.867785,4.866785,4.865785,4.864785,4.867785,4.867785,4.868785,9.1137724,9.1147724,4.867785,4.867785,9.1107724,9.1117724,4.867785,4.870785,4.869785,4.871785,4.870785,4.868785,9.1137724,9.1137724,9.1127724,4.869785
01-Jan-2030 04:00:00,4.867785,4.867785,4.867785,4.866785,3.51209,4.867785,4.867785,4.868785,9.27427994,9.27527994,4.868785,4.867785,9.27127994,9.27227994,4.867785,4.870785,4.869785,4.871785,4.870785,4.868785,9.27427994,9.27427994,9.27327994,4.869785
01-Jan-2030 05:00:00,4.865785,4.867785,4.868785,4.867785,4.7001949,4.867785,4.867785,4.868785,9.27427994,9.27527994,4.868785,4.867785,9.27127994,9.27227994,4.867785,4.870785,4.869785,4.871785,4.870785,4.868785,9.27427994,9.27427994,9.27327994,8.34422023428572
01-Jan-2030 06:00:00,3.51209,8.34322023428571,8.34422023428572,8.34322023428571,3.51309,8.34322023428571,8.34222023428571,8.34322023428571,9.27427994,9.27527994,8.34422023428572,8.34222023428571,9.27127994,9.27227994,8.34322023428571,8.34622023428572,8.34522023428572,8.34722023428572,8.34622023428572,8.34422023428572,9.27427994,9.27427994,9.27327994,8.34422023428572
01-Jan-2030 07:00:00,3.51209,8.34522023428572,8.34622023428572,8.34522023428572,4.867785,8.34522023428572,8.34422023428572,8.34322023428571,9.27427994,9.27527994,8.34422023428572,8.34422023428572,8.34522023428572,8.34622023428572,8.34522023428572,8.34822023428572,8.34722023428572,8.34922023428572,8.34922023428572,8.34622023428572,9.27627994,9.27427994,9.27527994,8.34422023428572
01-Jan-2030 08:00:00,3.51209,8.34622023428572,8.34822023428572,8.34722023428572,8.34322023428571,8.34722023428572,8.34622023428572,8.34522023428572,11.5113875296769,11.5123875296769,8.34422023428572,8.34522023428572,8.34522023428572,8.34622023428572,8.34722023428572,8.35022023428572,8.34922023428572,8.35122023428572,8.35122023428572,8.34822023428572,11.5133875296769,11.5113875296769,11.5123875296769,8.34422023428572
01-Jan-2030 09:00:00,3.51209,10.8881028436364,10.8901028436364,10.8891028436364,10.8861028436364,10.8891028436364,10.8881028436364,10.8871028436364,11.5113875296769,11.5123875296769,10.8861028436364,10.8871028436364,10.8851028436364,10.8861028436364,10.8891028436364,10.8921028436364,10.8911028436364,10.8931028436364,10.8931028436364,10.8901028436364,11.5133875296769,11.5113875296769,11.5123875296769,10.8861028436364
01-Jan-2030 10:00:00,8.34422023428572,46.8293742837624,46.8303742837624,46.8293742837624,46.8283742837624,46.8293742837624,46.8283742837624,46.8283742837624,46.8323742837624,46.8333742837624,46.8283742837624,46.8293742837624,46.8263742837624,46.8273742837624,46.8303742837624,46.8323742837624,46.8313742837624,46.8323742837624,46.8333742837624,46.8303742837624,46.8343742837624,46.8333742837624,46.8333742837624,46.8273742837624
01-Jan-2030 11:00:00,47.0854604910562,65.7270013609442,65.7270013609442,65.7260013609442,65.7250013609442,65.7260013609442,65.7250013609442,65.7240013609442,65.7270013609442,65.7280013609442,65.7260013609442,65.7260013609442,64.1841672767726,64.1851672767726,65.7270013609442,65.7290013609442,65.7280013609442,65.7280013609442,65.7290013609442,65.7270013609442,65.7300013609442,65.7290013609442,65.7290013609442,65.7230013609442
01-Jan-2030 12:00:00,50.9523043120708,64.0488917243921,64.0498917243921,64.0488917243921,64.0478917243921,64.0488917243921,64.0468917243922,64.0468917243922,64.0498917243921,64.0508917243921,64.0468917243922,64.0478917243921,64.0448917243922,64.0458917243921,64.0488917243921,64.0518917243921,64.0508917243921,64.0508917243921,64.0528917243921,64.0498917243921,64.0538917243921,64.0518917243921,64.0528917243921,64.0458917243921
01-Jan-2030 13:00:00,61.4587699945347,66.3145820351282,66.3165820351282,66.3155820351282,61.4627699945348,66.3155820351282,44.4336326266416,61.4597699945347,66.3165820351282,66.3175820351282,10.8861028436364,10.8871028436364,61.4597699945347,61.4607699945348,66.3155820351282,66.3185820351282,66.3175820351282,66.3175820351282,66.3195820351282,66.3165820351282,66.3205820351282,66.3185820351282,66.3195820351282,61.4607699945348
