Tier_A_MW,Reliability_Time_A
7,100.0
8,99.93150684931507
9,99.88584474885845
10,99.82876712328768
11,99.70319634703196
12,99.37214611872146
13,98.96118721461187
14,98.37899543378995
15,97.78538812785388
16,97.12328767123287
17,96.39269406392694
18,95.65068493150685
19,94.6689497716895
20,93.78995433789954
21,90.38812785388129
22,89.29223744292237
23,86.7351598173516
24,85.15981735159818
25,83.93835616438356
26,81.97488584474885
27,80.7648401826484
28,79.12100456621005
29,77.42009132420091
30,75.85616438356165
31,75.35388127853881
32,73.39041095890411
33,71.6324200913242
34,70.51369863013699
35,69.78310502283105
36,68.35616438356165
37,66.74657534246575
38,67.03196347031964
39,63.88127853881278
40,63.02511415525114
41,62.089041095890416
42,61.17579908675799
43,60.06849315068493
44,59.07534246575342
45,58.21917808219178
46,57.38584474885845
47,56.49543378995434
48,55.62785388127853
49,55.3082191780822
50,54.05251141552512
