Tier_B2_MW,Reliability_Deadline_B2
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,98.08135072908672
41,97.16039907904836
42,93.93706830391405
43,93.39984650805833
44,92.32540291634689
45,91.25095932463546
46,90.71373752877973
47,90.48349961627015
48,90.17651573292402
49,90.17651573292402
50,89.8695318495779
