Wind,Solar
41.05008174480389,0.0
45.58960947089878,0.0
49.00466786736183,0.0
52.18721532524853,0.0
51.123587236155416,0.0
50.058417824671764,0.0
63.79336524924354,0.0
79.11746783424277,0.0
83.64163267486074,0.0
81.25549614850296,0.0
67.45269910451579,0.0
63.07918095945616,0.14035819609836384
64.42137369527195,0.8767753299297629
59.53569717070282,1.4745355822132817
57.39060320920123,0.7257626672129355
58.533446982317344,0.0
60.283069637220414,0.0
41.81160697372354,0.0
42.46703436393574,0.0
58.561419271314485,0.0
49.16059230559318,0.0
53.91023331197055,0.0
53.64486177849386,0.0
59.426476410694534,0.0
45.91100601002203,0.0
40.96203334952161,0.0
52.936170665293965,0.0
52.31071437679053,0.0
47.53745352192863,0.0
63.86742150927848,0.0
64.76019839612867,0.0
54.6069112743474,0.0
56.47934226278904,0.0
47.524666815612264,0.9952506214765149
46.136176910615255,6.7989634321650545
43.49154904271564,16.063276848359088
36.19374126682663,33.52747248582892
40.67332729410778,32.05201504205537
31.56499180972041,48.25714421859378
29.198229399825486,0.0
35.78970364931675,0.0
39.846003237057836,0.0
45.34356812312714,0.0
52.46214747612357,0.0
66.01911114537454,0.0
72.79215902213183,0.0
69.31582656456497,0.0
68.67190066022225,0.0
80.34517928117447,0.0
79.10349398172325,0.0
80.50555322712592,0.0
80.83355373824372,0.0
88.20641503277812,0.0
92.84378555847125,0.0
96.01022377198936,0.0
97.24332959009982,0.0
97.71857576535808,0.0
98.89180823220342,2.9798670266557963
99.29233950710362,7.668015017077529
99.73709475062235,6.235553840293655
99.9849815946767,3.854562867171909
99.99776674423163,0.0
99.9991602172016,0.0
99.99936590094953,0.0
99.9991154913393,0.0
99.99979552508931,0.0
99.99976083763308,0.0
99.9900487568295,0.0
99.99712726448118,0.0
99.99975664679577,0.0
99.99973125844215,0.0
99.99992096231976,0.0
99.99995248334218,0.0
99.99996427911967,0.0
99.9999488927826,0.0
99.99995266649519,0.0
99.99994255154178,0.0
99.99990369752173,0.0
99.99978794805082,0.0
99.99951412502645,0.0
99.99850790485556,0.0
99.9953009095674,1.5947954750152717
99.9903530219273,5.497713741914997
99.97461405717348,25.069896837780824
99.99394136230227,55.52942112244581
99.96943183119537,87.05607004728591
99.91375878325185,70.53453777464809
99.96767406614634,0.06548700990413854
99.86780924781074,0.0
99.8783955194078,0.0
99.91834636948012,0.0
99.90180007888864,0.0
99.9498753980434,0.0
99.97956283304951,0.0
99.9808493019522,0.0
99.99261974825971,0.0
99.98782316111318,0.0
99.96769329170812,0.0
99.96003355914979,0.0
99.97399004874795,0.0
99.98740796085009,0.0
99.99913802914674,0.0
99.9977549058713,0.0
99.99960386976163,0.0
99.99933062282157,0.0
99.99873932658382,1.650785004198584
99.997298689333,5.736804892045478
99.98673217142233,6.994921189994821
99.48456021080827,6.75130242137822
94.2682038230424,5.8188361755859415
84.7011196195161,13.327494996344068
81.58717481406848,0.0
79.08319252112433,0.0
80.48109017196735,0.0
88.74107489525025,0.0
91.62458490830177,0.0
91.64717546771178,0.0
90.88214091801488,0.0
91.23568075388161,0.0
95.92346177085544,0.0
93.729079454266,0.0
86.87678026998535,0.0
86.62468667529295,0.0
90.60229146217577,0.0
89.26631737895607,0.0
78.20395177559276,0.0
62.249634799313334,0.0
54.171648276960504,0.0
43.179437818988696,0.0
39.18370599242934,3.837818630726373
33.18278512054381,37.887032161643326
28.108853454283434,71.78495668742859
31.812025015007446,109.6820998032307
29.951887396116316,102.93485886163691
24.32115943172041,73.57803359639577
20.73700765702108,0.9785138383710316
20.102047344178466,0.0
24.065840306431237,0.0
38.81045433171916,0.0
44.959360538017364,0.0
55.55194820662636,0.0
64.67557925061212,0.0
65.13909611559762,0.0
74.37482815070112,0.0
76.33628286720888,0.0
80.14347227488857,0.0
76.64300516980111,0.0
63.37090441928597,0.0
70.2481599402366,0.0
77.44327060857651,0.0
79.79959164819427,0.0
79.8382196431146,0.0
76.27100279278407,0.0
61.99453989043228,0.0
54.651694077628285,0.7532675040233068
57.51572671796001,4.24940264707803
75.36692329536754,7.873319334464807
78.99870922013442,19.976729049970515
75.84072710724718,36.28789963430358
81.44210883447752,0.0
86.37241247631299,0.0
89.23663847630624,0.0
91.81987254151954,0.0
88.83532868728989,0.0
83.85888862219112,0.0
78.82568159019068,0.0
72.45177128509182,0.0
72.46456082665301,0.0
73.7216252050639,0.0
70.40823625354541,0.0
60.57854502577075,0.0
54.55013645724305,0.0
44.16627612063105,0.0
32.64942229689844,0.0
26.257677662850202,0.0
21.8649681260349,0.0
20.585644671931266,0.0
16.974582930335938,3.059679821921022
16.978225251214017,13.289474306592316
19.801659449974792,33.760701013910925
12.408306970727793,23.519118530247884
11.088220076332158,21.490891689807786
15.52847273517281,19.453281344771515
21.185000202154708,0.0
18.309049001148672,0.0
13.457092039271323,0.0
9.51151571708488,0.0
7.195314123718191,0.0
4.378357921839187,0.0
2.0456121006835195,0.0
0.6963547151245142,0.0
0.0,0.0
0.9869460375487743,0.0
4.980137120792564,0.0
5.802467376251867,0.0
5.806377416116745,0.0
4.044776474244139,0.0
2.3206443549446796,0.0
1.7108155869082387,0.0
0.40304872419069154,0.0
0.8395865119632383,0.0
3.9150945213476716,1.3985419159409322
7.343009519593184,4.918105674293138
15.287623498300183,8.734959196141006
19.807636211823787,8.38427975432979
17.775872550477434,3.6073491277611702
24.86518041053272,0.17086546348582174
39.847853404573044,0.0
42.490751283033376,0.0
40.58678394727467,0.0
58.22870949196771,0.0
87.23102031553223,0.0
99.31202916453569,0.0
99.66902171192346,0.0
98.87485042322405,0.0
99.56278702002194,0.0
99.78123812464065,0.0
99.62273234757922,0.0
97.91464216949134,0.0
92.41615171522528,0.0
76.20165538956051,0.0
65.6426135817543,0.0
51.32190393126898,0.0
46.271927419041596,0.0
39.642122411113455,0.0
39.941512605288416,3.952858825812194
29.378769111946845,42.675896251154995
32.41611221316373,77.15586111601002
39.21376848433908,83.55085536474034
38.81660605533375,91.84541403786439
36.09299857242572,75.51175092206529
36.1081507748619,0.5611551102168916
43.76416446871366,0.0
50.15630516029959,0.0
53.53741367940553,0.0
55.04229894332889,0.0
55.00007429492902,0.0
54.16802152082963,0.0
54.60508521719996,0.0
60.67959188371691,0.0
70.64995416529192,0.0
80.81613408327021,0.0
87.18528594890455,0.0
87.3918036250388,0.0
85.78031707947967,0.0
88.21859401748658,0.0
91.08584901375082,0.0
94.57062935106772,0.0
94.79029603132312,0.0
94.3689765968919,0.0
93.5150387166502,2.123185135219822
92.01828224059078,8.290655170417928
91.93215034440966,56.062005695839645
87.68737864941443,75.12420303576329
79.54241460925076,76.40947481143033
69.0862179481039,1.9086198096279585
67.62005846845246,0.0
71.49956748399666,0.0
65.15017776401169,0.0
69.37776408282035,0.0
65.3820947079573,0.0
74.19449903011463,0.0
82.38474058686256,0.0
94.09958791583887,0.0
98.3688093479752,0.0
