Wind_MW,Solar_MW,Available_RE_MW,Served_IT_MW,Served_Facility_MW,Unserved_A_IT_MW,Unserved_A_Facility_MW,RE_Direct_To_Load_MW,BESS_Charge_MW,BESS_Discharge_MW,Curtailment_MW,BESS_Net_MW,Balance_Residual_MW
41.05008174480389,0.0,41.05008174480389,8.0,9.2,0.0,0.0,9.2,0.0,0.0,31.85008174480389,0.0,0.0
45.58960947089878,0.0,45.58960947089878,8.0,9.2,0.0,0.0,9.2,0.0,0.0,36.389609470898776,0.0,0.0
49.00466786736183,0.0,49.00466786736183,8.0,9.2,0.0,0.0,9.2,0.0,0.0,39.80466786736183,0.0,0.0
52.18721532524853,0.0,52.18721532524853,8.0,9.2,0.0,0.0,9.2,0.0,0.0,42.98721532524853,0.0,0.0
51.123587236155416,0.0,51.123587236155416,8.0,9.2,0.0,0.0,9.2,0.0,0.0,41.92358723615541,0.0,0.0
50.058417824671764,0.0,50.058417824671764,8.0,9.2,0.0,0.0,9.2,0.0,0.0,40.85841782467176,0.0,0.0
63.79336524924354,0.0,63.79336524924354,8.0,9.2,0.0,0.0,9.2,0.0,0.0,54.59336524924355,0.0,0.0
79.11746783424277,0.0,79.11746783424277,8.0,9.2,0.0,0.0,9.2,0.0,0.0,69.91746783424277,0.0,0.0
83.64163267486074,0.0,83.64163267486074,8.0,9.2,0.0,0.0,9.2,0.0,0.0,74.44163267486074,0.0,0.0
81.25549614850296,0.0,81.25549614850296,8.0,9.2,0.0,0.0,9.2,0.0,0.0,72.05549614850295,0.0,0.0
67.45269910451579,0.0,67.45269910451579,8.0,9.2,0.0,0.0,9.2,0.0,0.0,58.252699104515784,0.0,0.0
63.07918095945616,0.14035819609836384,63.21953915555452,8.0,9.2,0.0,0.0,9.2,0.0,0.0,54.019539155554526,0.0,0.0
64.42137369527195,0.8767753299297629,65.29814902520171,8.0,9.2,0.0,0.0,9.2,0.0,0.0,56.09814902520171,0.0,0.0
59.53569717070282,1.4745355822132817,61.0102327529161,8.0,9.2,0.0,0.0,9.2,0.0,0.0,51.81023275291611,0.0,0.0
57.39060320920123,0.7257626672129355,58.116365876414164,8.0,9.2,0.0,0.0,9.2,0.0,0.0,48.91636587641416,0.0,0.0
58.533446982317344,0.0,58.533446982317344,8.0,9.2,0.0,0.0,9.2,0.0,0.0,49.33344698231734,0.0,0.0
60.283069637220414,0.0,60.283069637220414,8.0,9.2,0.0,0.0,9.2,0.0,0.0,51.08306963722042,0.0,0.0
41.81160697372354,0.0,41.81160697372354,8.0,9.2,0.0,0.0,9.2,0.0,0.0,32.61160697372354,0.0,0.0
42.46703436393574,0.0,42.46703436393574,8.0,9.2,0.0,0.0,9.2,0.0,0.0,33.267034363935736,0.0,0.0
58.561419271314485,0.0,58.561419271314485,8.0,9.2,0.0,0.0,9.2,0.0,0.0,49.36141927131449,0.0,0.0
49.16059230559318,0.0,49.16059230559318,8.0,9.2,0.0,0.0,9.2,0.0,0.0,39.96059230559318,0.0,0.0
53.91023331197055,0.0,53.91023331197055,8.0,9.2,0.0,0.0,9.2,0.0,0.0,44.710233311970555,0.0,0.0
53.64486177849386,0.0,53.64486177849386,8.0,9.2,0.0,0.0,9.2,0.0,0.0,44.44486177849386,0.0,0.0
59.426476410694534,0.0,59.426476410694534,8.0,9.2,0.0,0.0,9.2,0.0,0.0,50.22647641069453,0.0,0.0
45.91100601002203,0.0,45.91100601002203,8.0,9.2,0.0,0.0,9.2,0.0,0.0,36.71100601002203,0.0,0.0
40.96203334952161,0.0,40.96203334952161,8.0,9.2,0.0,0.0,9.2,0.0,0.0,31.762033349521612,0.0,0.0
52.936170665293965,0.0,52.936170665293965,8.0,9.2,0.0,0.0,9.2,0.0,0.0,43.73617066529397,0.0,0.0
52.31071437679053,0.0,52.31071437679053,8.0,9.2,0.0,0.0,9.2,0.0,0.0,43.110714376790526,0.0,0.0
47.53745352192863,0.0,47.53745352192863,8.0,9.2,0.0,0.0,9.2,0.0,0.0,38.33745352192864,0.0,0.0
63.86742150927848,0.0,63.86742150927848,8.0,9.2,0.0,0.0,9.2,0.0,0.0,54.66742150927848,0.0,0.0
64.76019839612867,0.0,64.76019839612867,8.0,9.2,0.0,0.0,9.2,0.0,0.0,55.56019839612867,0.0,0.0
54.6069112743474,0.0,54.6069112743474,8.0,9.2,0.0,0.0,9.2,0.0,0.0,45.406911274347394,0.0,0.0
56.47934226278904,0.0,56.47934226278904,8.0,9.2,0.0,0.0,9.2,0.0,0.0,47.279342262789044,0.0,0.0
47.524666815612264,0.9952506214765149,48.51991743708878,8.0,9.2,0.0,0.0,9.2,0.0,0.0,39.319917437088776,0.0,0.0
46.136176910615255,6.7989634321650545,52.93514034278031,8.0,9.2,0.0,0.0,9.2,0.0,0.0,43.73514034278031,0.0,0.0
43.49154904271564,16.063276848359088,59.55482589107473,8.0,9.2,0.0,0.0,9.2,0.0,0.0,50.354825891074725,0.0,0.0
36.19374126682663,33.52747248582892,69.72121375265556,8.0,9.2,0.0,0.0,9.2,0.0,0.0,60.521213752655555,0.0,0.0
40.67332729410778,32.05201504205537,72.72534233616315,8.0,9.2,0.0,0.0,9.2,0.0,0.0,63.52534233616315,0.0,0.0
31.56499180972041,48.25714421859378,79.82213602831419,8.0,9.2,0.0,0.0,9.2,0.0,0.0,70.62213602831419,0.0,0.0
29.198229399825486,0.0,29.198229399825486,8.0,9.2,0.0,0.0,9.2,0.0,0.0,19.998229399825487,0.0,0.0
35.78970364931675,0.0,35.78970364931675,8.0,9.2,0.0,0.0,9.2,0.0,0.0,26.58970364931675,0.0,0.0
39.846003237057836,0.0,39.846003237057836,8.0,9.2,0.0,0.0,9.2,0.0,0.0,30.646003237057837,0.0,0.0
45.34356812312714,0.0,45.34356812312714,8.0,9.2,0.0,0.0,9.2,0.0,0.0,36.14356812312714,0.0,0.0
52.46214747612357,0.0,52.46214747612357,8.0,9.2,0.0,0.0,9.2,26.958193300859605,0.0,16.303954175263964,-26.958193300859605,3.552713678800501e-15
