,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-03-24 09:00:00,2.2235696547707304,3.611342738281168,4.015587925333736,4.358479991627216,4.887089223286457,321.373141169161,321.661542883451,321.95679966974865,321.12707750981565,322.35821641113426,279.7556911631873,217.81589382936428,42.150759422753154,197.16031107792605,32.772
2012-03-24 10:00:00,2.3107197407903546,3.623346184854567,4.004198104229535,4.309115817186461,4.597388725141245,329.7051918571286,331.0258720841401,332.37608766676533,332.1266999971508,333.88158833536687,280.15761489361955,252.01420563896855,42.52157617145512,228.2833410036622,32.498
2012-03-24 11:00:00,2.327031531833993,3.5435182593265444,3.897029107238231,4.248269361487025,4.395782502105197,322.04121236586343,322.9566071545879,323.89058969507505,323.5256101773532,325.5692024212592,280.44544168276093,310.3870643185904,81.74590096841045,262.18080738129174,31.488
2012-03-24 12:00:00,2.627415310939672,3.970262566435121,4.357826325980587,4.838141182805464,4.84266360127246,316.34229550316223,316.48023925476053,316.6199477088914,315.2413496694395,317.4912691720036,280.8429890048309,356.3452172048005,153.18797607986835,267.0738386686796,31.179
2012-03-24 13:00:00,2.877812602249473,4.371730689472689,4.804329594231677,5.321160156183356,5.34916723482942,315.8659551099517,315.6115480274469,315.35372664255783,313.71262188160784,315.0914091096496,281.07132731576525,393.5055210634591,319.2386332843849,221.8425294913453,31.179
2012-03-24 14:00:00,2.863166969934361,4.4581756156006485,4.922744910664033,5.382131128632737,5.579876516261495,313.9695643789547,313.52726600383164,313.08078785990193,310.4394878312723,312.43107569605604,281.02549356938243,379.1108124153578,528.0946530140741,137.40021567115605,31.488
2012-03-24 15:00:00,2.765788107183201,4.433107395251713,4.918432819372187,5.323812679619582,5.706171819156351,311.18143577954777,310.602845788622,310.0099600959805,307.3847899218781,309.7095594296336,280.92487255447287,317.12693229852624,755.0530320422986,54.24704102777548,32.939
2012-03-24 16:00:00,2.461782508766861,4.245426058881691,4.77128362367556,5.146261145095815,5.803268002116389,305.9423622784956,305.08955981944393,304.21780714604625,301.4240174443586,304.3710867417965,280.8507020491967,232.64907527443373,702.2043580778189,80.56236796359278,40.662
2012-03-24 17:00:00,1.1452303616407122,3.831405173320888,4.844181867581577,5.929479714041741,6.740471655610031,303.85267813809685,302.7574954835503,301.6406633329265,298.65940423390816,301.99441650258734,279.51124434384906,100.5733181355416,288.7049857475092,79.79750122297943,47.677
2012-03-24 18:00:00,0.940879929497008,3.967147688213758,5.2249990072011805,6.818946945098358,7.636158284103235,289.9044104410115,293.00023214599685,296.15657673767384,295.45167812998443,298.9820866443412,277.6519398466445,8.398458702288222,0.0,8.398458702288222,60.264
2012-03-24 19:00:00,0.8400133017795194,4.4487210197519165,6.100363601341751,7.9704275073587425,8.601891113381715,281.5083370398938,286.2047942697611,290.9946069000234,292.486260663352,296.3689400870305,276.65424254203634,0.0,0.0,0.0,53.094
2012-03-24 20:00:00,1.1419765311865586,5.308888065734737,7.113074825874043,9.279854080568397,9.521120336842626,281.9725945024747,286.9571173803648,292.0447891359916,295.21104306950485,298.81582224949784,276.9554686532154,0.0,0.0,0.0,44.687
2012-03-24 21:00:00,1.43779772834109,5.883244806932085,7.707026702616086,10.072362180210543,9.981042101466704,290.54320903661835,295.27839807688247,300.1114152795932,305.2155070252484,308.0843967122857,277.400195772402,0.0,0.0,0.0,43.049
2012-03-24 22:00:00,1.8929298594275892,6.417903320469578,8.133066636670266,10.767048110297154,10.730604871255863,303.20572969808967,307.2967930476834,311.4689803627485,316.7123124161746,318.8515668919356,277.52394631139964,0.0,0.0,0.0,43.049
2012-03-24 23:00:00,1.96460693305582,6.38926193167709,8.034725038527807,10.475444822328132,10.566245068367678,310.2294069952557,313.6295241081769,317.10143485870685,322.6460758556112,324.87253667805817,277.21154912621137,0.0,0.0,0.0,43.049
2012-03-25 00:00:00,1.8240488242106017,6.046547176514818,7.630276018031136,9.82189676623672,10.14695673833129,315.1460234053847,317.5563120203704,320.0142354450982,325.1336084136059,328.2239965807037,276.6424637014549,0.0,0.0,0.0,35.037
